scenario,n_runs_setting,base_seed,agent_setup,tau,beta,fx_cost,n_observations,final_gap_mean,final_gap_std,recovery_time_mean,recovery_time_std,recovery_b_mean,recovery_b_std,vol_before_mean,vol_after_mean
mixed,50,142,low_agents,0.5,0.4,0.005,50,7.43760000000001,0.8761384663652783,0.34,0.5573259772323189,1.04,0.19794866372215741,0.00042746550392420664,0.0045010636589077405
mixed,50,242,baseline_agents,0.5,0.4,0.005,50,3.017120000000002,2.053056364127817,6.193548387096774,5.062406244983438,8.82,7.988997536152647,0.0005551130540513009,0.007203039884814552
mixed,50,242,high_agents,0.5,0.4,0.005,50,5.06116000000001,0.11745330987247711,35.08,5.302444565230921,58.5,4.4228073086893485,0.00028261441817940705,0.0010556848182002093
mixed,50,242,low_agents,0.5,0.4,0.005,50,7.639200000000011,0.7875740068885787,0.26,0.5646020812962715,1.1,0.41649656391752143,0.0004557337596707095,0.00304113156881579
mixed,100,42,baseline_agents,0.5,0.4,0.005,100,3.585570000000007,1.7238664626093,11.301587301587302,17.691473179085108,10.48,7.794688686353786,0.00046769064827856667,0.006325480345468113
mixed,100,42,high_agents,0.5,0.4,0.005,100,5.093000000000011,0.11280088831228542,34.31,3.9278724289597062,58.44,4.452487671476078,0.00028590093688547996,0.0010488369923056524
mixed,100,42,low_agents,0.5,0.4,0.005,100,7.516900000000009,0.7383529240167199,0.26,0.6133201579612528,1.18,0.6257117159804119,0.00045343390059685295,0.0030269857661759754
mixed,100,142,baseline_agents,0.5,0.4,0.005,100,3.2563000000000044,1.8836694926594133,10.121212121212121,23.835665036640528,9.55,8.420003838862824,0.000486327742518263,0.007008574501506187
mixed,100,142,high_agents,0.5,0.4,0.005,100,5.08012000000001,0.09233801322786185,34.85,4.063573090597273,58.68,4.62072625364359,0.0002851295935121781,0.001046500115555034
mixed,100,142,low_agents,0.5,0.4,0.005,100,7.54310000000001,0.8349023955535234,0.32,0.5839607015973772,1.07,0.2931886695621029,0.00044440922458873454,0.0040541335985895864
mixed,100,242,baseline_agents,0.5,0.4,0.005,100,3.318770000000004,1.9551176453532753,8.492063492063492,13.577582349134055,9.56,8.130650327463036,0.0004943802134914911,0.00679866426985761
mixed,100,242,high_agents,0.5,0.4,0.005,100,5.08371000000001,0.1113143056685198,34.8,4.554939598663712,58.67,4.629843900765397,0.0002848215202492076,0.001051861605956684
mixed,100,242,low_agents,0.5,0.4,0.005,100,7.7356000000000105,0.7960779110137657,0.28,0.5140451577852126,1.13,0.5441145155760928,0.0004512066205521407,0.003774257498419823
moderate_transport,20,42,baseline_agents,0.5,0.0,0.001,20,5.995050000000011,3.8721543503788576,3.1,6.384877968032487,1.0,0.0,0.0004317962552706593,0.004926819998688445
moderate_transport,20,42,high_agents,0.5,0.0,0.001,20,12.194300000000009,0.2055260516205583,223.5,81.31727983645297,1.0,0.0,0.00030875198105306025,0.0007785867681765655
moderate_transport,20,42,low_agents,0.5,0.0,0.001,20,7.56750000000001,0.943324886825987,0.15,0.36634754853252327,1.0,0.0,0.00047677688582900053,0.0024829359614100327
moderate_transport,20,142,baseline_agents,0.5,0.0,0.001,20,5.861400000000002,4.893494332166679,4.285714285714286,6.718843437888484,1.0,0.0,0.0004362512146812212,0.009761781822481134
moderate_transport,20,142,high_agents,0.5,0.0,0.001,20,12.173200000000005,0.1608901554019492,212.0,56.821357487010694,1.0,0.0,0.00031116686293972655,0.0007772506292438705
moderate_transport,20,142,low_agents,0.5,0.0,0.001,20,7.34200000000001,0.9584779601013279,0.35,0.5871429486123998,1.0,0.0,0.00043471512336185704,0.0046698844034025995
moderate_transport,20,242,baseline_agents,0.5,0.0,0.001,20,3.770350000000002,4.379403447418744,2.9375,3.5490609086536304,1.0,0.0,0.0006254530209666386,0.008462897429497719
moderate_transport,20,242,high_agents,0.5,0.0,0.001,20,12.17805000000001,0.1842119702950888,177.66666666666666,106.0062891216051,1.0,0.0,0.0003079914277007379,0.0007867463563962923
moderate_transport,20,242,low_agents,0.5,0.0,0.001,20,7.513000000000011,0.6124850159284237,0.2,0.5231483637805969,1.0,0.0,0.0004520316872241454,0.002445049543947202
moderate_transport,50,42,baseline_agents,0.5,0.0,0.001,50,6.385400000000007,4.093457063985637,3.56,5.650073745831405,1.0,0.0,0.0004531136211716987,0.00577758942650906
moderate_transport,50,42,high_agents,0.5,0.0,0.001,50,12.21560000000001,0.17921415760400866,219.25,77.96740772057686,1.0,0.0,0.0003100593529395707,0.0007775408756858958
moderate_transport,50,42,low_agents,0.5,0.0,0.001,50,7.477600000000009,0.8362539405355428,0.2,0.4517539514526256,1.0,0.0,0.00045673610577449584,0.0029089544925699367
moderate_transport,50,142,baseline_agents,0.5,0.0,0.001,50,6.0424200000000035,4.762844747134445,4.9,6.727965312141503,1.0,0.0,0.0004771815121915901,0.00836326231263998
moderate_transport,50,142,high_agents,0.5,0.0,0.001,50,12.204580000000007,0.17941197489212807,169.77777777777777,54.35940069982785,1.0,0.0,0.00029965180113394944,0.0007780162350851645
moderate_transport,50,142,low_agents,0.5,0.0,0.001,50,7.388600000000009,0.8558252014928088,0.34,0.5573259772323189,1.0,0.0,0.0004329757316321383,0.004687480516753884
moderate_transport,50,242,baseline_agents,0.5,0.0,0.001,50,4.7300400000000025,4.295906314107869,3.96875,4.617528839178501,1.0,0.0,0.0005463583328899422,0.00814800452442502
